iter	RMSE
0	0.165597249
1	0.1597775361
2	0.1523710195
3	0.1494034296
4	0.1457746333
5	0.142279119
6	0.13900382
7	0.1376008544
8	0.1361804201
9	0.1335694805
10	0.1326939647
11	0.1313116348
12	0.1305677715
13	0.1295231223
14	0.1288792995
15	0.1272628947
16	0.1263328155
17	0.1251381114
18	0.1247430689
19	0.123883361
20	0.1230280326
21	0.1221253059
22	0.1210382617
23	0.1209184718
24	0.1205078107
25	0.1202353416
26	0.1199518724
27	0.1197742962
28	0.1188711822
29	0.118560853
30	0.1183264662
31	0.1177904126
32	0.1175573377
33	0.1169900843
34	0.1168940878
35	0.1168117698
36	0.1166953875
37	0.1159826845
38	0.1152404039
39	0.1150335418
40	0.1149994985
41	0.1149661914
42	0.1147934174
43	0.1141995705
44	0.1141318007
45	0.1138559725
46	0.1132402249
47	0.1132153425
48	0.1131922126
49	0.1129425974
50	0.1126781649
51	0.1126345417
52	0.1122436914
53	0.1122169584
54	0.1121973944
55	0.1119941728
56	0.1117910606
57	0.1115583334
58	0.1109060222
59	0.1108881642
60	0.1105811952
61	0.1105641352
62	0.1104654232
63	0.1103990441
64	0.1099639383
65	0.1099392236
66	0.1099262935
67	0.1096799362
68	0.1093339085
69	0.1089624832
70	0.1087583225
71	0.1087467671
72	0.1086099756
73	0.1084652371
74	0.1083325968
75	0.1083187826
76	0.1081070655
77	0.1080208534
78	0.1080023496
79	0.1079897617
80	0.1079191511
81	0.1077921329
82	0.107776728
83	0.1077362912
84	0.1076835847
85	0.107379297
86	0.1071819107
87	0.107063435
88	0.1069542793
89	0.106947548
90	0.1068559261
91	0.1068352589
92	0.1067206776
93	0.1066138554
94	0.1062422598
95	0.1058910055
96	0.1058768868
97	0.1058581695
98	0.1058492969
99	0.1058429808
