iter	Passed	Remaining
0	0	77
1	1	70
2	2	65
3	2	61
4	3	59
5	3	57
6	4	56
7	4	55
8	5	55
9	6	55
10	6	55
11	7	53
12	7	53
13	8	52
14	9	51
15	9	50
16	10	49
17	10	48
18	11	48
19	11	47
20	12	46
21	12	46
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	16	41
29	17	40
30	18	40
31	18	39
32	19	39
33	19	38
34	20	38
35	21	37
36	21	37
37	22	36
38	23	35
39	23	35
40	24	34
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	30
47	28	30
48	28	29
49	29	29
50	29	28
51	30	28
52	30	27
53	31	26
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	35	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	41	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	58	0
99	58	0
